zipcode,median_age_total,median_age_male,median_age_female,total_population,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_or_more_races_two_races_including_some_other_race,"two_or_more_races_two_races_excluding_some_other_race,_and_three_or_more_races",total_population_25_years_and_over,no_schooling_completed_25_years_and_over,nursery_school_25_years_and_over,kindergarten_25_years_and_over,1st_grade_25_years_and_over,2nd_grade_25_years_and_over,3rd_grade_25_years_and_over,4th_grade_25_years_and_over,5th_grade_25_years_and_over,6th_grade_25_years_and_over,7th_grade_25_years_and_over,8th_grade_25_years_and_over,9th_grade_25_years_and_over,10th_grade_25_years_and_over,11th_grade_25_years_and_over,"12th_grade,_no_diploma_25_years_and_over",regular_high_school_diploma_25_years_and_over,ged_or_alternative_credential_25_years_and_over,"some_college,_less_than_1_year_25_years_and_over","some_college,_1_or_more_years,_no_degree_25_years_and_over",associates_degree_25_years_and_over,bachelors_degree_25_years_and_over,masters_degree_25_years_and_over,professional_school_degree_25_years_and_over,doctorate_degree_25_years_and_over,total_population_16_years_and_over,in_labor_force_16_years_and_over,in_labor_force_civilian_labor_force_16_years_and_over,in_labor_force_civilian_labor_force_employed_16_years_and_over,in_labor_force_civilian_labor_force_unemployed_16_years_and_over,in_labor_force_armed_forces_16_years_and_over,not_in_labor_force_16_years_and_over,median_household_income
98070,50.6,49.9,50.9,10447,9844,17,80,241,0,2,263,63,200,7972,0,0,0,0,0,0,18,1,25,5,15,31,69,2,184,968,122,493,991,496,2407,1652,309,184,8947,5882,5850,5500,350,32,3065,6142.0
98072,42.1,41.7,42.7,22485,19130,195,41,1683,167,370,899,46,853,15531,35,0,0,0,0,0,0,0,58,55,20,54,72,128,89,2156,225,892,2307,1237,5149,2247,513,294,17920,12584,12564,11941,623,20,5336,4409.0
98074,38.2,38.8,37.6,26386,19701,131,8,5546,0,132,868,133,735,16738,37,0,0,0,0,0,143,0,50,0,11,14,19,12,70,727,70,495,1688,1147,7342,3774,524,615,19070,12794,12794,12229,565,0,6276,6149.0
98075,37.8,38.3,37.5,22483,16451,256,24,4478,80,202,992,36,956,13678,34,0,0,0,0,0,1,2,2,0,8,18,21,2,48,1002,125,492,1300,882,6063,2612,503,563,15754,11132,11132,10652,480,0,4622,8563.0
98077,42.2,41.2,42.8,14154,12964,80,18,543,0,111,438,93,345,9296,21,0,0,0,0,0,0,0,0,0,7,11,19,25,73,806,125,634,1507,736,3307,1499,316,210,10844,7174,7174,6797,377,0,3670,10120.0
98092,37.2,35.9,38.6,40610,29003,1562,1384,4520,232,946,2963,277,2686,26186,212,0,14,3,7,23,3,10,180,64,246,326,534,323,220,5193,865,2083,4910,2755,5640,1914,398,263,32011,21465,21392,19621,1771,73,10546,4601.0
98102,33.3,34.2,31.7,22776,18508,593,188,2033,40,119,1295,37,1258,18786,77,0,0,0,0,0,0,0,0,0,16,4,82,32,99,773,117,518,2278,1325,8072,3646,998,749,21660,18286,18272,17425,847,14,3374,4855.0
98103,34.0,34.3,33.7,47559,39294,859,274,3399,15,643,3075,247,2828,36723,179,14,0,172,0,0,56,8,81,2,59,99,72,86,246,1846,436,916,3814,2272,15579,7024,1900,1862,41636,33786,33619,32021,1598,167,7850,4049.0
98105,23.0,23.2,22.8,44981,30801,661,202,9185,204,862,3066,247,2819,19922,63,17,0,0,0,1,21,3,0,0,128,104,78,2,153,979,180,499,1857,1370,7559,4150,1405,1353,40713,25489,25471,22997,2474,18,15224,3934.0
98106,35.8,35.5,36.1,25023,13721,3030,150,4743,774,518,2087,372,1715,17386,490,0,4,24,0,95,155,54,383,138,108,198,213,217,459,2581,518,1206,3355,1594,4144,1194,203,53,20265,14482,14382,12962,1420,100,5783,3683.0
98107,34.5,34.7,34.3,22772,19612,248,45,1499,28,216,1124,218,906,19010,18,0,0,0,0,17,50,0,35,0,104,51,101,94,103,1283,199,820,1981,1554,8076,3288,646,590,20239,16485,16464,15426,1038,21,3754,4705.0
98108,35.7,35.9,35.4,24220,7769,3731,341,9670,233,791,1685,98,1587,16581,937,0,0,54,29,126,14,180,530,130,312,508,295,340,823,2676,561,1004,2313,1166,3342,940,230,71,18830,12997,12975,11795,1180,22,5833,2889.0
